id,employee,salary
52023020,Airlie,88626395
49954001,Addie,48686381
75762467,Calix,81824970
49721138,Cait,93110276
65900001,Albany,96615359
98453428,Balthazar,70479783
8401555,Addie,36392147
44745546,Alani,9614313
58286212,Agoyoanye,80800382
50750337,Barbara,9347997
88392907,Baba,15351156
71153173,Calla,18845213
26487253,Baqer,14824417
57677051,Balthazar,44180631
29383184,Abilene,83649849
22903006,Akikta,14927021
79610356,Caitlin,59992783
71477491,Callahan,64516439
80535914,Baby,49308011
6343349,Cable,74344255
93847074,Bardia,47044252
99765664,Banks,19365408
87553434,Calder,50234208
26666469,Cadewyn,2970865
94216735,Baby,76122109
82144098,Caldwell,53285308
65139028,Cactus,34486636
84185610,Callias,45129372
14467695,Calla,87396888
12615354,Aeryn,4773405
7945673,Badu,3946120
12105037,Cala,17933158
12899533,Barak,49270333
43019460,Barak,87171157
24057301,Bandana,51636528
60175110,Bandit,87637108
32847486,Alayja,17178909
6586516,Aerilyn,62247466
28554096,Cache,3144306
63652559,Cagney,78965837
42671898,Bambina,21021159
25387292,Ballari,67208208
56522802,Cahya,6539721
32701813,Caliana,58304005
92478705,Caldwell,26227624
68283911,Bardia,29775646
27104735,Cadhla,17040862
34993683,Alannis,1433727
17700126,Caitlin,97404373
32535705,Calico,41258969
2977642,Adagio,20423645
15058,Cali,1800035
28315519,Caliana,10897514
30716575,Balint,68487789
87695977,Callan,27264966
35396563,Balint,57329718
89314057,Cadence,92301905
452891,Bandit,63696434
57433740,Adair,88956985
47234328,Adabella,77564090
20775849,Caitir,64032539
93176969,Bao,92596387
72597431,Baina,88385961
2186939,Bambina,61145291
93334191,Calais,64741828
82753945,Ailani,43885962
26765238,Caden,14143865
70810078,Bahari,15027604
66552750,Adalynn,52024893
47349584,Calanthe,31777770
3308579,Adelyn,66633888
22875031,Caius,55823082
81686687,Aderes,73124153
66739327,Babette,31927411
28234215,Ahava,61529324
39045433,Bahadur,55335880
23710880,Baback,9629633
90433487,Akikta,73281575
53507875,Aderes,63305223
63778347,Afton,39926126
42453793,Caine,72508147
54524335,Adalyn,92314520
95896629,Banjo,93674077
77661064,Akela,37997373
37295924,Balint,31516768
12032889,Banner,18139854
72945758,Calgary,3032656
43085492,Cadewyn,63241954
55113512,Adele,66461089
96643760,Baldwin,22822980
93591781,Adler,5433315
986727,Banyan,73503800
35108789,Adaya,37699157
88497243,Bambi,91447073
60511926,Cal,90317475
84372106,Cailyn,55077613
99796639,Adrianne,59355589
23157054,Caia,12313328
99343707,Cadhla,54074999
69672963,Ahava,557372
73962861,Cabernet,49665765
57055074,Adalira,75566666
87634384,Calico,11996427
10121001,Ahava,96274608
35093401,Abdiel,15142840
81029019,Caitlyn,19817154
45050081,Aikaterini,78454514
97529652,Adelle,53714584
15616972,Aerilyn,34811934
14530868,Cady,29066245
39017340,Caitlin,80223263
