ID,>,52023020
SALARY,=,48686381
ID,=,75762467
EMPLOYEE,<,Cait
ID,<,65900001
EMPLOYEE,<,Balthazar
ID,=,8401555
ID,=,44745546
SALARY,>,80800382
ID,=,50750337
ID,=,88392907
SALARY,>,18845213
EMPLOYEE,=,Baqer
SALARY,=,44180631
ID,<,29383184
EMPLOYEE,<,Akikta
EMPLOYEE,<,Caitlin
ID,=,71477491
EMPLOYEE,=,Baby
SALARY,>,74344255
SALARY,=,47044252
ID,=,99765664
EMPLOYEE,<,Calder
EMPLOYEE,=,Cadewyn
EMPLOYEE,>,Baby
SALARY,>,53285308
ID,<,65139028
ID,>,84185610
ID,=,14467695
EMPLOYEE,=,Aeryn
EMPLOYEE,>,Badu
ID,<,12105037
ID,=,12899533
ID,>,43019460
SALARY,=,51636528
SALARY,<,87637108
ID,=,32847486
ID,<,6586516
SALARY,=,3144306
SALARY,>,78965837
ID,<,42671898
EMPLOYEE,<,Ballari
EMPLOYEE,=,Cahya
EMPLOYEE,=,Caliana
SALARY,<,26227624
EMPLOYEE,=,Bardia
SALARY,<,17040862
ID,<,34993683
ID,>,17700126
ID,<,32535705
EMPLOYEE,>,Adagio
EMPLOYEE,<,Cali
SALARY,>,10897514
SALARY,>,68487789
SALARY,<,27264966
ID,>,35396563
EMPLOYEE,=,Cadence
EMPLOYEE,<,Bandit
ID,>,57433740
EMPLOYEE,>,Adabella
EMPLOYEE,<,Caitir
ID,=,93176969
EMPLOYEE,>,Baina
ID,>,2186939
EMPLOYEE,<,Calais
ID,=,82753945
EMPLOYEE,>,Caden
EMPLOYEE,>,Bahari
SALARY,>,52024893
EMPLOYEE,=,Calanthe
EMPLOYEE,=,Adelyn
ID,<,22875031
ID,<,81686687
EMPLOYEE,=,Babette
SALARY,<,61529324
EMPLOYEE,<,Bahadur
ID,=,23710880
EMPLOYEE,<,Akikta
ID,>,53507875
SALARY,=,39926126
ID,<,42453793
SALARY,>,92314520
EMPLOYEE,<,Banjo
ID,=,77661064
EMPLOYEE,>,Balint
ID,>,12032889
ID,<,72945758
EMPLOYEE,<,Cadewyn
EMPLOYEE,<,Adele
SALARY,>,22822980
EMPLOYEE,>,Adler
EMPLOYEE,=,Banyan
ID,>,35108789
EMPLOYEE,<,Bambi
ID,=,60511926
SALARY,<,55077613
SALARY,>,59355589
ID,>,23157054
EMPLOYEE,<,Cadhla
ID,<,69672963
SALARY,<,49665765
ID,<,57055074
SALARY,=,11996427
EMPLOYEE,=,Ahava
SALARY,>,15142840
EMPLOYEE,=,Caitlyn
EMPLOYEE,>,Aikaterini
SALARY,>,53714584
ID,>,15616972
EMPLOYEE,<,Cady
EMPLOYEE,=,Caitlin
SALARY,=,10581201
ID,>,57624775
SALARY,=,3619761
EMPLOYEE,=,Cala
SALARY,>,19610687
EMPLOYEE,>,Abrianna
ID,=,51902847
ID,<,66287447
EMPLOYEE,<,Airlie
EMPLOYEE,>,Barakat
SALARY,>,70912031
SALARY,=,3435006
EMPLOYEE,<,Babette
EMPLOYEE,=,Adele
EMPLOYEE,=,Aideen
EMPLOYEE,>,Adalyn
SALARY,=,43431974
SALARY,<,29884696
SALARY,<,65850598
SALARY,<,20114291
ID,>,20661464
SALARY,>,2338220
SALARY,=,95418760
ID,=,61394210
ID,>,95105025
SALARY,>,66262703
ID,<,79270137
ID,<,13427466
ID,<,31482272
EMPLOYEE,>,Caine
EMPLOYEE,=,Addy
EMPLOYEE,>,Cale
ID,>,29469780
EMPLOYEE,<,Cactus
ID,=,8256059
SALARY,>,83172732
EMPLOYEE,>,Badr
EMPLOYEE,>,Acelynn
EMPLOYEE,=,Calanthe
EMPLOYEE,=,Cadee
SALARY,=,36315551
EMPLOYEE,=,Admetus
EMPLOYEE,=,Aero
SALARY,<,96096601
ID,=,80879054
SALARY,=,38797526
EMPLOYEE,>,Caimbrie
SALARY,>,98368495
ID,=,20486401
EMPLOYEE,>,Calico
EMPLOYEE,>,Bandit
ID,=,62584515
ID,<,84723833
ID,<,90053071
ID,=,27318554
EMPLOYEE,<,Barak
ID,=,65541628
ID,=,80810414
EMPLOYEE,<,Banner
SALARY,=,20095849
EMPLOYEE,=,Aerilyn
EMPLOYEE,>,Adalira
EMPLOYEE,=,Airlie
ID,>,87263007
EMPLOYEE,=,Caesar
SALARY,<,78441048
EMPLOYEE,=,Cady
ID,<,73389881
ID,=,83501436
SALARY,<,14048119
ID,>,7511651
SALARY,>,40706575
EMPLOYEE,=,Cadelaria
SALARY,=,59224944
ID,=,84906122
ID,>,63297748
EMPLOYEE,=,Cadhla
EMPLOYEE,>,Callias
ID,<,17953526
EMPLOYEE,<,Adria
ID,<,81081649
SALARY,>,97317510
ID,<,27691111
EMPLOYEE,>,Calix
