id,employee,salary
52023020,Alannis,13427466
49954001,Cadence,9748401
75762467,Badu,52319328
49721138,Agustina,75308969
65900001,Aisling,71723667
98453428,Cable,44042159
8401555,Caerwyn,28929871
44745546,Caley,90021432
58286212,Ailill,35153786
50750337,Balint,73389881
88392907,Banagher,27691111
71153173,Baird,78100152
26487253,Akikta,87263007
57677051,Adelle,93403286
29383184,Bardot,31482272
22903006,Caledon,42067350
79610356,Callia,61654833
71477491,Adie,44042159
80535914,Ailsa,27318554
6343349,Baara,71723667
93847074,Albany,2979934
99765664,Alannis,86351187
87553434,Banks,79270137
26666469,Adelyn,2979934
94216735,California,11773057
82144098,Baines,93403286
65139028,Bahari,17953526
84185610,Callahan,28929871
14467695,Baki,31596729
12615354,Baldasarre,28929871
7945673,Cadee,76568432
12105037,Cale,20486401
12899533,Baird,75308969
43019460,Barbara,51902847
24057301,Caine,90053071
60175110,Caitir,47508675
32847486,Bardia,52787190
6586516,Calixte,11595375
28554096,Alain,66287447
63652559,Banagher,87634384
42671898,Baldasarre,79270137
25387292,Ailani,29557348
56522802,Barbra,61654833
32701813,Addy,80584856
92478705,Aislinn,56463411
68283911,Bardia,44042159
27104735,Admetus,41452712
34993683,Caden,80810414
17700126,Baeddan,84906122
32535705,Barbra,61394210
2977642,Baden,44541428
15058,Adagio,72848189
28315519,Caimbrie,41489540
30716575,Bandana,7511651
87695977,Adagio,25914918
35396563,Albany,8085809
89314057,Barb,25914918
452891,Aila,52319328
57433740,Ballari,63297748
47234328,Adelyn,25914918
20775849,Cait,81029019
93176969,Cady,44042159
72597431,Bardia,75308969
2186939,Callan,52319328
93334191,Adina,2979934
82753945,Cady,451970
26765238,Baka,69968572
70810078,Cady,35093401
66552750,Aj,35093401
47349584,Callen,69968572
3308579,Bardia,81032775
22875031,Aideen,84906122
81686687,Aikaterini,73389881
66739327,Agoyoanye,58750
28234215,Caleb,73962861
39045433,Ban,59773722
23710880,Agoyoanye,56463411
90433487,Barb,11773057
53507875,Baldasarre,79743553
63778347,Calixte,27318554
42453793,Bardia,9748401
54524335,Adagio,31596729
95896629,Barbra,25622852
77661064,Admetus,78100152
37295924,Baldwin,97529652
12032889,Aderes,71723667
72945758,Baka,39017340
43085492,Aikaterini,95718234
55113512,Aero,28929871
96643760,Ballard,56463411
93591781,Adele,27380026
986727,Ailsa,62194045
35108789,Cactus,56463411
88497243,Cable,47508675
60511926,Cadence,35093401
84372106,Cairo,87263007
99796639,Aj,21945943
23157054,Bandele,35153786
99343707,Ailani,90021432
69672963,Barke,62584515
